epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12921.3,1.36389,2.15489,1.52816,0.59943,0.48152,0.46404,0.26956,1.3345,1.78388,1.50844,0.0099927,0.0033309,0.0099927,0.0033309,0.0099927,0.0033309,0.0099927,0.0033309
2,24907.9,1.32573,1.50324,1.47697,0.47386,0.44272,0.43985,0.25298,1.4032,1.82603,1.55534,0.0198278,0.00660925,0.0198278,0.00660925,0.0198278,0.00660925,0.0198278,0.00660925
3,36830,1.43882,1.68078,1.56056,0.47221,0.38925,0.39695,0.22041,1.55021,2.13308,1.70692,0.0294978,0.00983261,0.0294978,0.00983261,0.0294978,0.00983261,0.0294978,0.00983261
4,48810.5,1.47174,1.74833,1.60068,0.48877,0.41001,0.42429,0.2451,1.48644,2.05609,1.6742,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,60791.8,1.41805,1.62234,1.56755,0.55175,0.4527,0.48203,0.29017,1.37189,1.79779,1.58239,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,72806.1,1.36285,1.49606,1.52445,0.58384,0.4519,0.49716,0.29649,1.32858,1.70938,1.52848,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,84815.3,1.32933,1.43082,1.5006,0.56148,0.48009,0.51317,0.31637,1.3069,1.65024,1.50211,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,96785.4,1.28936,1.34747,1.4727,0.58819,0.49159,0.53363,0.32845,1.25438,1.56458,1.4606,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,108714,1.26509,1.29158,1.4491,0.57427,0.51323,0.54169,0.33695,1.24428,1.5082,1.44014,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,120619,1.24233,1.27324,1.43225,0.55867,0.52307,0.53707,0.33042,1.24043,1.55615,1.4565,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,132596,1.2317,1.23133,1.42354,0.55736,0.55285,0.56888,0.3546,1.1957,1.44055,1.41413,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,144620,1.20103,1.18577,1.40909,0.6033,0.53422,0.57255,0.36056,1.18351,1.41883,1.39693,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,156661,1.19958,1.17009,1.3969,0.57957,0.54064,0.57178,0.36245,1.18094,1.40517,1.39214,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,168665,1.17047,1.13307,1.38348,0.60804,0.55162,0.58955,0.37578,1.1655,1.37381,1.38403,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
